old_precinct_id,new_district_id,fragment_population,weight
4530327,37,5443,0.37214549432517435
4530328,10,7397,0.6712950358471731
4530328,11,2425,0.22007441691623558
4530328,37,1197,0.10863054723659134
4530329,10,10975,0.8720699245133094
4530329,37,1610,0.1279300754866905
4530330,10,7933,1.0
4530331,10,5196,0.4443684255537501
4530331,11,6244,0.5339946976823741
4530331,37,253,0.021636876763875823
4530332,37,9686,1.0
4530333,10,3762,0.30363196125907993
4530333,11,8595,0.6937046004842615
4530333,17,33,0.0026634382566585956
4530334,10,2416,0.18396406000152288
4530334,11,9750,0.7424046295591259
4530334,17,967,0.07363131043935126
4530335,10,195,0.027330063069376315
4530335,11,6630,0.9292221443587947
4530335,17,310,0.043447792571829014
4530336,10,135,0.026559118630729885
4530336,11,4948,0.9734408813692701
4530337,10,9108,0.6787391012743126
4530337,11,1804,0.13443624711230345
4530337,37,2507,0.18682465161338402
4530338,10,9913,1.0
4530338,37,0,0.0
4530339,10,3686,0.3294012511170688
4530339,37,7504,0.6705987488829311
4530340,10,52,0.007641440117560617
4530340,37,6753,0.9923585598824394
4530341,10,1578,0.5
4530341,37,1578,0.5
4530342,10,1165,0.09331197436924309
4530342,37,11320,0.9066880256307569
4530343,10,11184,0.6353101567825494
4530343,11,6420,0.36468984321745057
4530344,37,4695,1.0
4530345,10,596,0.31236897274633124
4530345,37,1312,0.6876310272536688
4530346,10,12377,1.0
4530347,10,7860,0.739208125646572
4530347,37,2773,0.260791874353428
4530349,10,5122,0.23611303185359334
4530349,27,2995,0.1380629696215369
4530349,37,13576,0.6258239985248698
4530350,27,528,0.03821656050955414
4530350,37,13288,0.9617834394904459
4530351,10,383,0.047418596013371304
4530351,37,7694,0.9525814039866287
4530352,37,8150,1.0
4530354,10,8802,0.7960567965994393
4530354,37,2255,0.20394320340056074
4530356,10,2773,0.3374710965072411
4530356,37,5444,0.662528903492759
4530357,10,2157,1.0
4530358,37,10183,1.0
4530359,10,13510,1.0
4530360,27,1545,0.11060204739065073
4530360,37,12424,0.8893979526093493
4530361,10,4028,0.46755658734764943
4530361,21,599,0.06952988972721996
4530361,27,3427,0.39779454439930356
4530361,37,561,0.06511897852582704
4530362,37,6469,1.0
4530363,37,3940,1.0
4530364,10,8741,1.0
4530365,10,9085,0.6237127557325278
4530365,27,1305,0.08959220101606481
4530365,37,4176,0.2866950432514074
4530366,27,5080,0.27273703425319445
4530366,37,13546,0.7272629657468055
4530367,21,486,0.020770118381127398
4530367,27,14249,0.6089576477627249
4530367,37,8664,0.3702722338561477
4530368,10,2358,1.0
4530369,10,7492,0.34569952011812477
4530369,11,10740,0.4955703211517165
4530369,17,3262,0.15051679586563307
4530369,31,178,0.008213362864525656
4530370,10,1471,0.17574671445639187
4530370,11,5318,0.6353643966547192
4530370,17,214,0.025567502986857827
4530370,31,1367,0.16332138590203107
4530371,10,6927,0.8047165427509294
4530371,11,1381,0.160432156133829
4530371,31,300,0.03485130111524164
4530372,10,7666,0.5040768016833246
4530372,11,5138,0.33784850078905837
4530372,17,2104,0.13834823776959496
4530372,31,300,0.019726459758022095
4530373,10,9027,1.0
4530374,10,5224,0.24370218324314238
4530374,11,14959,0.6978447471543199
4530374,17,1253,0.05845306960253779
4530375,10,3822,0.6964285714285714
