county_fips,county_name,status,notebook_path,population_2020,notes
48357,Ochiltree,not_started,,10015,
48359,Oldham,not_started,,1758,
48361,Orange,not_started,,84808,
48363,Palo Pinto,not_started,,28409,
48365,Panola,not_started,,22491,
48367,Parker,not_started,,148222,
48369,Parmer,not_started,,9869,
48371,Pecos,not_started,,15193,
48373,Polk,not_started,,50123,
48375,Potter,not_started,,118525,
48377,Presidio,not_started,,6131,
48379,Rains,not_started,,12164,
48381,Randall,not_started,,140753,
48383,Reagan,not_started,,3385,
48385,Real,not_started,,2758,
48387,Red River,not_started,,11587,
48389,Reeves,not_started,,14748,
48391,Refugio,not_started,,6741,
48393,Roberts,not_started,,827,
48395,Robertson,not_started,,16757,
48397,Rockwall,not_started,,107819,
48399,Runnels,not_started,,9900,
48401,Rusk,not_started,,52214,
48403,Sabine,not_started,,9894,
48405,San Augustine,not_started,,7918,
48407,San Jacinto,not_started,,27402,
48409,San Patricio,not_started,,68755,
48411,San Saba,not_started,,5730,
48413,Schleicher,not_started,,2451,
48415,Scurry,not_started,,16932,
48417,Shackelford,not_started,,3105,
48419,Shelby,not_started,,24022,
48421,Sherman,not_started,,2782,
48423,Smith,not_started,,233479,
48425,Somervell,not_started,,9205,
48427,Starr,done,notebooks/07_time_series_pipeline_starr.ipynb,65920,has uncontested 2018 race(s)
48429,Stephens,not_started,,9101,
48431,Sterling,not_started,,1372,
48433,Stonewall,not_started,,1245,
48435,Sutton,not_started,,3372,
48437,Swisher,not_started,,6971,
48439,Tarrant,not_started,,2110640,
48441,Taylor,not_started,,143208,
48443,Terrell,not_started,,760,
48445,Terry,not_started,,11831,
48447,Throckmorton,not_started,,1440,
48449,Titus,not_started,,31247,
48451,Tom Green,not_started,,120003,
48453,Travis,done,notebooks/07_time_series_pipeline_travis.ipynb,1290188,
48455,Trinity,not_started,,13602,
48457,Tyler,not_started,,19798,
48459,Upshur,not_started,,40892,
48461,Upton,not_started,,3308,
48463,Uvalde,not_started,,24564,
48465,Val Verde,not_started,,47586,
48467,Van Zandt,not_started,,59541,
48469,Victoria,not_started,,91319,
48471,Walker,not_started,,76400,
48473,Waller,not_started,,56794,
48475,Ward,not_started,,11644,
48477,Washington,not_started,,35805,
48479,Webb,done,notebooks/07_time_series_pipeline_webb.ipynb,267114,has uncontested 2018 race(s)
48481,Wharton,not_started,,41570,
48483,Wheeler,not_started,,4990,
48485,Wichita,not_started,,129350,
48487,Wilbarger,not_started,,12887,
48489,Willacy,not_started,,20164,
48491,Williamson,done,notebooks/07_time_series_pipeline_williamson.ipynb,609017,patch cell present but no-op
48493,Wilson,not_started,,49753,
48495,Winkler,not_started,,7791,
48497,Wise,not_started,,68632,
48499,Wood,not_started,,44843,
48501,Yoakum,not_started,,7694,
48503,Young,not_started,,17867,
48505,Zapata,not_started,,13889,
48507,Zavala,not_started,,9670,
